date,value
"2020-01-06T19:48:44.202Z",2350678
"2020-01-06T19:48:45.207Z",2353838
"2020-01-06T19:48:46.188Z",2356998
"2020-01-06T19:48:47.165Z",2319712
"2020-01-06T19:48:48.183Z",2322872
"2020-01-06T19:48:49.183Z",2366478
"2020-01-06T19:48:50.162Z",2369638
"2020-01-06T19:48:51.183Z",2372798
"2020-01-06T19:48:52.197Z",2375958
"2020-01-06T19:48:53.172Z",2380574
"2020-01-06T19:48:54.199Z",2343720
"2020-01-06T19:48:55.212Z",2347080
"2020-01-06T19:48:56.182Z",2390718
"2020-01-06T19:48:57.236Z",2393910
"2020-01-06T19:48:58.178Z",2356656
"2020-01-06T19:48:59.185Z",2400294
"2020-01-06T19:49:00.202Z",2403486
"2020-01-06T19:49:01.287Z",2406678
"2020-01-06T19:49:02.183Z",2409870
"2020-01-06T19:49:03.208Z",2372616
"2020-01-06T19:49:04.185Z",2416254
"2020-01-06T19:49:05.165Z",2419446
"2020-01-06T19:49:06.166Z",2382192
"2020-01-06T19:49:07.170Z",2385384
"2020-01-06T19:49:08.178Z",2388576
"2020-01-06T19:49:09.161Z",2391768
"2020-01-06T19:49:10.163Z",2394960
"2020-01-06T19:49:11.157Z",2438598
"2020-01-06T19:49:12.218Z",2401344
"2020-01-06T19:49:13.216Z",2444982
"2020-01-06T19:49:14.221Z",2448174
"2020-01-06T19:49:15.251Z",2410920
"2020-01-06T19:49:16.228Z",2454558
"2020-01-06T19:49:17.183Z",2457750
"2020-01-06T19:49:18.168Z",2420496
"2020-01-06T19:49:19.171Z",2464134
"2020-01-06T19:49:20.235Z",2467326
"2020-01-06T19:49:21.165Z",2470518
"2020-01-06T19:49:31.337Z",2473710
"2020-01-06T19:49:32.230Z",2436456
"2020-01-06T19:49:33.162Z",2480094
"2020-01-06T19:49:34.284Z",2483286
"2020-01-06T19:49:35.183Z",2486478
"2020-01-06T19:49:36.252Z",2489670
"2020-01-06T19:49:37.255Z",2492862
"2020-01-06T19:49:38.172Z",2496054
"2020-01-06T19:49:39.170Z",2458800
"2020-01-06T19:49:40.165Z",2461992
"2020-01-06T19:49:41.178Z",2505630
"2020-01-06T19:49:42.182Z",2508822
"2020-01-06T19:49:43.179Z",2471568
"2020-01-06T19:49:44.192Z",2474760
"2020-01-06T19:49:45.177Z",2477952
"2020-01-06T19:49:46.185Z",2481144
"2020-01-06T19:49:47.185Z",2524782
"2020-01-06T19:49:48.196Z",60597131
"2020-01-06T19:49:49.192Z",60597131
"2020-01-06T19:49:50.173Z",2534358
"2020-01-06T19:49:51.184Z",2537550
"2020-01-06T19:49:52.175Z",2500296
"2020-01-06T19:49:53.216Z",2503488
